Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bulgaria,,,,,,,,,,,,,,,,,,,,,2238.802958,2234.814816,2169.004011,1852.813434,1963.572676,1914.550647,2260.427281,3132.30136,2511.393063,2477.020818,2366.529821,1267.734375,1211.980878,1278.525114,1148.494399,2259.259226,1470.192593,1361.409384,1820.448664,1659.718611,1621.262107,1770.907049,2092.982886,2719.494369,3389.687434,3899.825963,4523.146558,5888.776852,7271.303389,6988.273163,6863.667068,7857.16707,7430.73738,7687.713682,7912.274844,7078.860323,7570.931655,8381.881346,9447.655897,9874.336326,10148.3424,12219.34187,13974.44925
Bahrain,,,,,,,,,,,,,,,,,,,,,8474.18836,9187.979623,9323.749814,9227.679738,9316.380553,8407.163631,6780.143797,7270.200316,7660.066614,7721.737887,8174.797232,8621.767048,8568.658051,9063.565385,9384.771881,9543.389368,9643.308694,9728.446323,9195.42561,9566.095494,12738.77412,12291.83261,12819.99594,14230.29675,15777.96364,17705.23516,19057.7989,20883.54803,23155.82145,19448.18326,21186.81433,23741.55746,25102.72635,25790.73031,25464.7601,22795.44886,22867.18112,24349.90987,25415.84662,25869.11291,23433.18724,26850.00339,30146.92503
"Bahamas, The",1483.003682,1581.30398,1680.494849,1792.422274,1921.437235,2073.829691,2246.849454,2466.520088,2688.944256,3057.322961,3005.784399,3108.954374,3123.463773,3466.05498,3197.702347,2953.22492,3115.53839,3386.626388,3871.339807,5194.46237,5967.767886,6257.78659,6797.830965,7324.186554,8463.464999,9436.232744,9858.295721,10617.40527,10819.26804,11533.26076,11696.51137,11269.95052,11025.87836,10730.00097,11085.14713,11447.0179,11835.38679,20415.70617,21665.38786,23991.7008,24849.60648,25234.14415,26590.14018,26204.8805,26393.41395,28280.87084,28829.84938,29687.86522,29013.63029,27120.69055,27046.65767,26644.92658,28059.39366,26955.78893,28203.35568,29724.95334,29675.53589,30708.98702,31483.97884,32279.01136,23998.26802,28260.43255,31458.30081
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.7831793,497.6828466,712.9536456,907.1487832,1000.416835,1128.398884,1332.210217,1382.76746,1602.564039,2031.402483,2451.577301,2741.080175,3170.174783,3936.931747,4846.790941,4542.311673,4506.932352,4980.904688,4688.345823,5025.241753,5196.970084,4654.60862,4917.263766,5327.392304,6024.49315,6094.724823,6095.104237,7230.198838,7568.79848
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.5067308,1603.338851,1462.028614,1370.478457,1452.507105,1396.657187,1511.259791,1210.587439,1276.280381,1244.373185,1479.380663,1819.526531,2378.337005,3126.071767,3848.223503,4735.481076,6376.175692,5352.488092,6034.678852,6527.659343,6953.215917,7998.080205,8341.290143,5967.06856,5039.775609,5785.533977,6360.053101,6837.768321,6542.86454,7489.718947,7888.263711
Belize,307.128629,319.6028026,331.2013126,341.3861114,355.6438529,382.5906647,411.338347,425.7322504,391.8999347,401.2011105,441.1719393,479.9269418,527.7565642,616.4710765,802.0560601,903.6171455,727.4556063,863.9110609,981.048419,1070.348251,1363.840218,1318.127065,1195.508972,1231.012451,1342.227691,1301.082642,1385.471231,1643.949927,1831.019639,2065.720309,2988.60482,3190.868365,3644.922823,3862.552029,3878.968982,4011.140031,4042.152482,4011.022238,4119.706172,4283.477069,4720.168218,4708.294937,4844.228574,4937.089905,5123.596214,5236.365426,5486.831434,5717.92962,5665.966232,5352.095987,5399.062096,5519.339008,5635.521526,5865.470902,6031.548402,6098.60008,6099.957102,6049.391948,6001.024262,6134.215233,5185.15807,6060.968223,6984.21696
Bermuda,1902.402085,1961.538135,2020.385929,2020.265212,2199.726968,2282.216573,2630.850497,2982.749617,2830.188679,3053.703704,3387.272727,3866.300366,4343.173432,5009.29368,5853.932584,6509.433962,7261.278195,8370.786517,8876.865672,9613.3829,11218.21782,13425.97697,14166.17129,15902.02038,17469.82557,18269.53552,20450.66453,22411.79567,24253.17552,25517.92172,26841.51974,27700.31006,28669.68171,30900.69428,31476.06372,33989.72316,44826.78907,48478.88325,51371.74081,54245.45974,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,95221.85887,104287.3875,106935.4863,101407.764,101875.2841,97774.16207,98431.86518,99471.6389,98467.68399,102005.6256,106885.8785,111820.5815,113050.7369,116153.1661,107791.8864,111774.6691,118774.7907
Bolivia,100.6739015,107.2727772,114.8811033,121.1436467,133.6610189,145.3849433,157.5855749,174.203292,193.5031103,205.1523024,219.55969,231.3576993,268.2950421,257.7592974,419.1062006,469.1897618,521.1985077,601.9947736,685.3827068,803.9562383,775.8542123,985.5871896,934.7813827,884.552229,986.7846311,842.0902334,607.0827722,652.7057594,675.7147352,678.6414025,685.9427177,737.521442,763.2606089,760.1176818,777.4160359,856.3650535,925.8492101,973.9626322,1025.409495,981.7529782,977.3294177,930.8756843,888.198576,892.3553416,951.9516229,1018.313725,1200.068042,1351.035182,1687.578497,1725.146286,1922.058571,2304.982462,2562.466784,2853.797162,3022.462884,2975.648811,3013.502707,3280.008214,3471.006951,3472.380831,3068.812555,3345.023002,3600.121635
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2875.577715,3065.242357,2656.497207,2505.377758,2766.345596,3393.142926,4704.959837,5121.905407,5240.127176,5049.764669,3456.423303,3726.811669,3142.23514,2824.715413,3056.649798,3623.224462,4773.268551,5866.023414,7323.191594,8801.757876,8569.902547,11249.29189,13200.55623,12327.5131,12258.56571,12071.40446,8783.215424,8680.736469,9896.718895,9121.020995,8845.324149,6923.699912,7696.78483,8917.674911
Barbados,,,,,,,,,,,,,,,1268.285821,1627.660387,1755.165984,1983.063842,2202.644953,2656.647349,3992.036338,4374.85175,4552.944471,4818.683873,5235.134119,5465.203582,5990.460128,6589.383144,7005.502809,7753.02566,7772.808757,7789.391377,7520.79074,7905.676802,8220.27611,8451.958599,8994.324063,9491.475434,10685.26061,11173.94937,11560.2459,11510.04043,11658.62904,11998.17569,12828.43895,14173.75138,15595.6365,17219.02123,17551.85504,16309.88601,16494.24304,16902.49232,16704.92438,16923.59092,16964.75226,17023.69436,17381.36509,17881.56325,18271.25225,19063.10229,16882.50152,17507.46799,20238.78424
Brunei Darussalam,,,,,,1059.000247,1179.050313,1181.942541,1309.978787,1259.336909,1342.994603,1424.47152,1882.203842,2905.413925,6957.188745,7317.772329,8621.123728,10159.01244,11020.68022,15409.83099,26228.07745,22494.86284,21254.06231,18526.29427,17619.33108,15863.26468,10262.92628,11587.49105,10949.80293,11762.35329,13440.66929,13717.38749,15080.71971,14420.58852,14000.44605,15827.98736,16706.46935,16593.43254,12653.8094,14065.69952,17971.89229,16437.42204,16817.23887,18521.36613,21839.26362,25991.21401,30767.75383,32337.27437,37427.54006,27497.54687,34609.71198,46139.10758,46844.19734,43950.04546,41035.77712,30681.43397,26762.03504,28186.98674,31240.50179,30748.30924,27179.35289,31448.91275,37152.47697
Bhutan,,,,,,,,,,,,,,,,,,,,,309.8543815,324.6870413,319.8530022,343.624891,341.2067975,337.0059425,383.0867122,472.2383038,514.691526,486.5752425,515.2997216,423.2694263,440.0332839,433.8656028,496.7860723,550.6562279,564.4869443,644.0878036,652.3610292,699.3313359,722.8267562,765.0092366,841.3663133,951.7391705,1050.133107,1201.433648,1299.631259,1714.031085,1780.112232,1768.745945,2194.125876,2491.273439,2470.072151,2409.440006,2589.89916,2695.636924,2879.546564,3427.173845,3389.777303,3564.598772,3181.339747,3560.197705,
Botswana,59.2971126,62.7429913,66.44872498,69.37886762,74.01435562,80.19387247,89.52806428,101.3306091,113.7009747,131.8504654,162.506051,210.9590897,262.4651333,371.434994,442.5360413,487.9158319,485.4037622,559.6563684,695.0924712,917.5940221,1130.315971,1092.664572,992.1180515,1105.130206,1128.871937,978.9930857,1180.908893,1610.365203,2096.735802,2369.125618,2825.724781,2855.948427,2918.617005,2844.99575,2832.813409,3064.585985,3063.994566,3100.165638,2893.328745,3242.137335,3351.696517,3115.679,3029.788362,4111.738085,4818.213103,5240.316159,5142.913834,5372.340732,5345.848752,4938.249906,6041.732051,7080.778643,6392.987347,6436.603319,6844.03325,5869.737579,6411.551666,6705.341062,6947.817841,6691.161053,5875.070606,7238.796098,7738.878804
Central African Republic,66.77009521,71.99320347,71.43909954,72.83982885,78.39352492,81.42826997,83.6115982,84.84324535,97.08480547,93.01876961,91.47264874,95.41896067,106.9448798,123.4949062,125.6634114,165.7933972,194.6007531,216.6045049,258.0683554,293.166651,330.0029473,284.6377618,303.2508417,263.9894692,252.7485896,338.7483079,434.3751153,459.1660548,476.0208591,452.9665593,512.850879,475.2761464,471.9406393,413.9594767,267.0062766,340.39968,299.6194897,271.1433006,272.1015401,273.4279279,243.8775801,242.5757268,253.4106704,283.6753481,309.1902428,317.8776779,340.4145171,388.4777717,446.2287704,452.9222365,459.7769818,515.2095035,525.867504,352.2268549,394.856933,351.8797548,372.1354561,414.7403223,435.9322966,426.4087531,435.4692478,461.137511,427.0580962
Canada,2259.250511,2240.433039,2268.585346,2374.498448,2555.111146,2770.361804,3047.106147,3217.159294,3462.678872,3763.953379,4135.821498,4535.393389,5106.73708,5858.334073,7056.708475,7536.520098,8838.947107,8949.109893,9154.433253,10077.50267,11208.20274,12379.03686,12527.31353,13477.10317,13930.47455,14170.12494,14521.18008,16377.69021,19012.57233,20794.68223,21525.86114,21846.79305,20950.33053,20186.79888,19997.62374,20679.63479,21296.97235,21901.56285,21024.58507,22315.24667,24271.00206,23822.06012,24255.33858,28300.4631,32143.68141,36382.50792,40504.06073,44659.89514,46710.50558,40876.31015,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,42315.60371,45129.4293,46548.63841,46374.15275,43562.43583,52515.19984,55522.44569
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2305.723074,2195.991403,2361.309225,2491.375007,2826.655131,3580.948316,3796.496074,3748.508595,4109.312868,3989.192741,3952.111287,4352.728509,4937.124851,5949.802685,7176.509046,8355.865939,9469.733136,12009.67771,14577.94561,12307.63568,12607.86047,13964.09383,13075.40262,13667.03547,14142.31873,12526.59301,12783.18084,14223.33868,16078.20726,16349.94583,16297.9641,18814.14582,19420.96441
